iter	Passed	Remaining
0	187	187263
1	188	94158
2	189	63105
3	190	47533
4	191	38199
5	192	31973
6	193	27514
7	194	24168
8	195	21566
9	196	19490
10	197	17784
11	198	16375
12	199	15178
13	200	14152
14	202	13267
15	203	12487
16	204	11796
17	204	11179
18	205	10629
19	206	10133
20	207	9686
21	208	9283
22	209	8918
23	210	8571
24	211	8255
25	213	7979
26	214	7713
27	215	7474
28	217	7278
29	218	7062
30	219	6867
31	220	6680
32	222	6519
33	223	6355
34	224	6193
35	225	6041
36	227	5914
37	228	5785
38	229	5657
39	231	5556
40	232	5439
41	233	5331
42	235	5232
43	236	5137
44	237	5040
45	238	4948
46	240	4871
47	241	4799
48	243	4721
49	244	4645
50	245	4576
51	248	4524
52	249	4464
53	251	4414
54	253	4348
55	254	4287
56	256	4238
57	258	4194
58	260	4148
59	261	4094
60	262	4047
61	264	3999
62	265	3946
63	266	3895
64	267	3852
65	268	3806
66	270	3767
67	271	3716
68	272	3671
69	273	3629
70	274	3590
71	276	3558
72	277	3521
73	278	3483
74	279	3444
75	280	3409
76	281	3376
77	282	3343
78	284	3315
79	285	3284
80	286	3251
81	287	3219
82	289	3193
83	289	3162
84	290	3128
85	292	3106
86	292	3073
87	294	3049
88	295	3024
89	297	3006
90	298	2981
91	299	2957
92	300	2931
93	301	2909
94	303	2886
95	304	2862
96	304	2838
97	305	2814
98	306	2792
99	307	2769
100	309	2751
101	309	2725
102	310	2705
103	311	2682
104	312	2667
105	313	2645
106	314	2624
107	315	2605
108	316	2585
109	317	2567
110	318	2549
111	319	2532
112	320	2513
113	321	2496
114	322	2479
115	322	2460
116	323	2443
117	324	2427
118	325	2407
119	326	2391
120	327	2375
121	327	2359
122	328	2340
123	329	2324
124	330	2310
125	331	2297
126	332	2283
127	332	2265
128	333	2251
129	334	2237
130	335	2224
131	336	2211
132	337	2197
133	337	2184
134	338	2171
135	339	2157
136	340	2144
137	341	2130
138	341	2117
139	342	2106
140	343	2093
141	344	2081
142	345	2072
143	346	2061
144	347	2049
145	348	2037
146	349	2027
147	350	2015
148	351	2005
149	351	1994
150	352	1983
151	353	1972
152	354	1961
153	354	1950
154	355	1939
155	356	1929
156	357	1920
157	358	1913
158	359	1903
159	360	1894
160	361	1884
161	362	1875
162	363	1865
163	364	1856
164	364	1846
165	365	1837
166	366	1828
167	367	1818
168	368	1810
169	368	1801
170	369	1791
171	370	1782
172	371	1774
173	371	1765
174	372	1756
175	373	1748
176	374	1742
177	375	1734
178	376	1728
179	378	1722
180	378	1712
181	379	1704
182	380	1697
183	381	1693
184	382	1686
185	383	1679
186	385	1676
187	386	1669
188	387	1662
189	388	1654
190	389	1649
191	390	1643
192	391	1636
193	392	1630
194	393	1624
195	394	1617
196	395	1610
197	395	1603
198	396	1597
199	397	1591
200	398	1585
201	399	1578
202	400	1572
203	401	1566
204	402	1559
205	402	1552
206	403	1547
207	404	1541
208	405	1535
209	406	1528
210	407	1522
211	407	1515
212	408	1509
213	409	1503
214	410	1497
215	410	1491
216	411	1485
217	412	1480
218	413	1474
219	414	1468
220	415	1463
221	415	1457
222	416	1452
223	417	1447
224	418	1441
225	419	1435
226	419	1430
227	420	1424
228	421	1418
229	422	1413
230	423	1408
231	423	1402
232	424	1397
233	425	1392
234	426	1387
235	426	1382
236	427	1377
237	428	1372
238	429	1367
239	430	1362
240	431	1357
241	432	1353
242	433	1349
243	433	1344
244	434	1339
245	435	1335
246	437	1332
247	437	1327
248	439	1325
249	440	1321
250	441	1317
251	442	1312
252	442	1307
253	443	1303
254	444	1298
255	445	1293
256	446	1289
257	447	1285
258	447	1281
259	448	1276
260	449	1272
261	450	1267
262	450	1263
263	451	1259
264	452	1255
265	453	1250
266	454	1246
267	454	1242
268	455	1238
269	456	1234
270	457	1229
271	457	1225
272	458	1221
273	459	1217
274	460	1213
275	461	1209
276	461	1205
277	462	1202
278	463	1198
279	464	1194
280	465	1190
281	466	1186
282	466	1182
283	467	1178
284	468	1174
285	469	1171
286	469	1167
287	470	1163
288	471	1160
289	472	1157
290	473	1153
291	474	1149
292	475	1146
293	476	1143
294	477	1140
295	477	1136
296	478	1132
297	479	1129
298	480	1125
299	480	1122
300	481	1118
301	482	1115
302	483	1112
303	484	1109
304	485	1106
305	486	1102
306	486	1099
307	487	1095
308	488	1092
309	489	1089
310	490	1086
311	491	1083
312	492	1080
313	492	1076
314	493	1073
315	494	1070
316	495	1067
317	496	1065
318	497	1062
319	498	1059
320	499	1056
321	500	1053
322	501	1050
323	502	1047
324	503	1045
325	504	1042
326	505	1040
327	506	1037
328	507	1034
329	507	1031
330	508	1028
331	509	1025
332	510	1021
333	510	1018
334	511	1015
335	512	1012
336	513	1009
337	514	1006
338	515	1004
339	516	1001
340	517	999
341	517	996
342	518	993
343	519	990
344	520	987
345	521	985
346	522	982
347	523	980
348	524	978
349	525	975
350	526	972
351	526	970
352	527	967
353	528	964
354	529	961
355	530	958
356	530	956
357	531	953
358	532	950
359	533	947
360	534	945
361	535	943
362	536	940
363	536	937
364	537	935
365	538	932
366	539	930
367	540	928
368	541	925
369	542	923
370	543	920
371	543	918
372	544	915
373	545	912
374	546	910
375	546	907
376	547	905
377	548	902
378	549	900
379	550	897
380	550	894
381	551	892
382	552	889
383	553	887
384	553	884
385	554	882
386	555	879
387	556	877
388	557	874
389	557	872
390	558	869
391	559	867
392	560	865
393	561	863
394	562	861
395	562	858
