iter	Passed	Remaining
0	112	112201
1	114	56890
2	115	38277
3	116	28968
4	117	23358
5	118	19585
6	119	16887
7	120	14884
8	121	13364
9	122	12103
10	123	11101
11	124	10246
12	125	9555
13	126	8941
14	128	8423
15	129	7958
16	130	7545
17	131	7181
18	132	6853
19	133	6557
20	134	6277
21	135	6029
22	136	5799
23	137	5591
24	138	5404
25	139	5232
26	141	5087
27	142	4947
28	143	4818
29	145	4689
30	146	4569
31	147	4455
32	148	4349
33	149	4244
34	150	4142
35	151	4048
36	152	3965
37	153	3883
38	154	3807
39	155	3737
40	156	3661
41	157	3593
42	158	3525
43	159	3462
44	160	3403
45	161	3349
46	162	3294
47	163	3247
48	164	3195
49	165	3152
50	167	3107
51	168	3063
52	168	3019
53	169	2974
54	170	2930
55	171	2891
56	172	2851
57	173	2814
58	174	2777
59	175	2744
60	176	2709
61	177	2677
62	178	2647
63	178	2615
64	179	2586
65	180	2556
66	182	2539
67	183	2517
68	184	2489
69	185	2463
70	186	2439
71	187	2418
72	188	2398
73	190	2379
74	191	2358
75	192	2337
76	193	2314
77	194	2293
78	194	2272
79	196	2254
80	197	2235
81	198	2216
82	198	2192
83	199	2178
84	200	2162
85	201	2145
86	202	2130
87	204	2115
88	205	2100
89	206	2086
90	207	2071
91	208	2056
92	209	2043
93	210	2032
94	212	2020
95	213	2009
96	214	1995
97	215	1982
98	216	1969
99	217	1956
100	218	1946
101	219	1933
102	220	1922
103	221	1911
104	222	1898
105	223	1886
106	224	1873
107	225	1862
108	226	1850
109	227	1840
110	228	1830
111	229	1822
112	231	1814
113	232	1804
114	233	1794
115	234	1785
116	235	1774
117	236	1765
118	237	1757
119	238	1748
120	239	1738
121	240	1728
122	241	1720
123	242	1712
124	243	1703
125	244	1695
126	245	1687
127	246	1678
128	247	1670
129	248	1663
130	249	1654
131	250	1647
132	251	1639
133	252	1632
134	253	1625
135	254	1619
136	255	1611
137	257	1605
138	258	1599
139	259	1593
140	260	1588
141	261	1579
142	262	1576
143	264	1570
144	265	1562
145	265	1555
146	266	1548
147	267	1541
148	268	1534
149	269	1529
150	270	1522
151	272	1520
152	273	1515
153	274	1510
154	276	1504
155	277	1500
156	278	1494
157	279	1487
158	279	1480
159	280	1475
160	281	1467
161	282	1461
162	283	1454
163	284	1448
164	285	1442
165	285	1436
166	287	1431
167	288	1427
168	289	1422
169	290	1418
170	291	1414
171	292	1410
172	293	1405
173	294	1399
174	295	1394
175	296	1388
176	297	1383
177	298	1378
178	299	1373
179	300	1368
180	301	1363
181	302	1359
182	303	1353
183	304	1349
184	305	1345
185	306	1342
186	307	1338
187	308	1334
188	309	1329
189	310	1324
190	311	1320
191	312	1316
192	313	1311
193	314	1306
194	315	1301
195	316	1298
196	317	1294
197	318	1290
198	319	1287
199	320	1282
200	321	1278
201	322	1274
202	323	1269
203	324	1265
204	325	1260
205	325	1256
206	326	1251
207	327	1247
208	328	1242
209	329	1238
210	330	1234
211	331	1231
212	332	1227
213	333	1223
214	333	1219
215	335	1217
216	336	1213
217	337	1210
218	338	1207
219	339	1203
220	340	1199
221	341	1195
222	342	1191
223	343	1188
224	343	1184
225	344	1181
226	346	1178
227	347	1175
228	348	1173
229	349	1170
230	350	1167
231	351	1164
232	352	1161
233	353	1158
234	354	1155
235	355	1151
236	356	1148
237	357	1144
238	358	1141
239	359	1137
240	360	1134
241	361	1131
242	361	1127
243	363	1124
244	364	1122
245	365	1119
246	366	1118
247	367	1114
248	368	1111
249	369	1108
250	370	1105
251	371	1102
252	372	1099
253	373	1096
254	374	1094
255	375	1091
256	376	1088
257	377	1086
258	378	1083
259	379	1080
260	380	1077
261	381	1075
262	383	1073
263	384	1071
264	385	1068
265	386	1066
266	387	1062
267	388	1059
268	388	1057
269	389	1054
270	390	1051
271	392	1049
272	393	1047
273	394	1045
274	395	1042
275	396	1040
276	397	1038
277	398	1035
278	399	1032
279	400	1029
280	401	1026
281	402	1024
282	403	1021
283	404	1019
284	405	1016
285	406	1013
286	407	1011
287	407	1008
288	408	1005
289	410	1003
290	410	1001
291	411	998
292	412	995
293	413	992
294	414	990
295	415	987
296	416	985
297	417	982
298	418	980
299	419	978
300	420	975
301	421	973
302	422	970
303	423	968
304	424	966
305	425	963
306	425	961
307	427	959
308	428	957
309	429	955
310	429	952
311	430	949
312	431	947
313	432	944
314	433	942
315	434	940
316	435	937
317	436	935
318	436	932
319	438	930
320	439	928
321	439	926
322	440	923
323	441	921
324	442	919
325	443	917
326	444	914
327	445	912
328	446	911
329	447	908
330	448	906
331	449	904
332	450	901
333	451	899
334	452	897
335	453	895
336	454	893
337	455	891
338	456	890
339	457	888
340	458	886
341	459	883
342	460	881
343	460	879
344	461	876
345	463	875
346	464	873
347	465	871
348	465	868
349	466	866
350	467	864
351	468	862
352	469	860
353	470	858
354	471	856
355	472	854
356	473	852
357	474	850
358	475	848
359	476	846
360	476	844
361	477	842
362	478	840
363	479	837
364	480	835
365	481	833
366	482	832
367	483	830
368	484	828
369	485	826
370	486	825
371	487	823
372	489	821
373	490	820
374	491	818
375	491	816
376	492	814
377	493	812
378	494	810
379	495	808
380	496	806
381	497	804
382	498	802
383	498	800
384	499	798
385	500	796
386	502	795
387	503	793
388	504	791
389	505	790
390	506	788
391	506	786
392	507	784
393	508	782
394	509	780
395	510	779
396	526	799
397	527	797
398	528	795
399	529	794
400	530	792
401	531	790
402	532	788
403	533	786
404	533	784
405	534	782
406	535	780
407	536	778
408	537	776
409	538	774
410	539	772
411	539	770
412	540	768
413	542	767
414	543	765
415	544	763
416	545	762
417	545	760
418	546	758
419	548	756
420	549	755
421	550	753
422	551	752
423	552	750
424	553	748
425	554	747
426	555	745
427	556	743
428	557	742
429	558	740
430	559	738
431	560	737
432	561	735
433	562	733
434	563	732
435	564	730
436	565	729
437	566	727
438	567	725
439	568	723
440	569	721
441	570	720
442	571	718
443	572	716
444	573	714
445	574	713
446	574	711
447	575	709
448	576	707
449	577	706
450	578	704
451	579	702
452	580	700
453	581	699
454	582	697
455	583	695
456	584	694
457	585	692
458	586	690
459	586	688
460	587	687
461	588	685
462	589	683
463	590	682
464	591	680
465	592	679
466	593	677
467	594	676
468	595	674
469	596	672
470	597	671
471	598	669
472	599	667
473	600	665
474	600	664
475	601	662
476	602	660
477	603	659
478	604	657
479	605	656
480	606	654
481	607	653
482	609	651
483	610	650
484	611	648
485	612	647
486	612	645
487	613	644
488	614	642
489	615	640
490	616	639
491	617	637
492	618	635
493	618	634
494	620	632
495	621	631
496	622	629
497	623	628
498	624	626
499	625	625
500	626	623
501	627	622
502	628	620
503	629	619
504	629	617
505	631	616
506	632	614
507	632	612
508	633	611
509	635	610
510	636	608
511	637	607
512	638	605
513	639	604
514	639	602
515	640	601
516	641	599
517	642	597
518	643	596
519	644	594
520	645	593
521	645	591
522	646	589
523	647	588
524	648	586
525	649	585
526	650	583
527	651	582
528	652	580
529	653	579
530	654	577
531	655	576
532	656	574
533	657	573
534	658	571
535	658	570
536	659	568
537	660	567
538	661	566
539	662	564
540	663	563
541	664	561
542	665	560
543	666	558
544	667	557
545	668	555
546	669	554
547	670	552
548	670	551
549	671	549
550	672	548
551	673	546
552	674	545
553	675	543
554	676	542
555	677	541
556	678	539
557	679	538
558	680	536
559	681	535
560	682	533
561	682	532
562	684	531
563	685	529
564	686	528
565	688	527
566	689	526
567	689	524
568	690	523
569	691	521
570	692	520
571	693	518
572	694	517
573	695	516
574	696	515
575	698	514
576	699	512
577	700	511
578	700	509
579	701	508
580	702	506
581	704	505
582	704	504
583	705	502
584	706	501
585	707	500
586	708	498
587	709	497
588	710	496
589	712	494
590	712	493
591	713	491
592	714	490
593	715	489
594	716	487
595	717	486
596	718	484
597	719	483
598	720	482
599	721	480
600	722	479
601	723	478
602	724	476
603	725	475
604	726	474
605	727	473
606	729	472
607	730	470
608	731	469
609	731	467
610	732	466
611	733	464
612	734	463
613	735	462
614	736	460
615	736	459
616	737	457
617	738	456
618	739	455
619	740	453
620	741	452
621	742	451
622	743	449
623	744	448
624	745	447
625	746	445
626	747	444
627	748	443
628	749	441
629	750	440
630	751	439
631	752	437
632	753	436
633	754	435
634	755	434
635	756	433
636	757	431
637	758	430
638	759	429
639	760	427
640	761	426
641	762	425
642	763	423
643	764	422
644	765	421
645	766	419
646	767	418
647	768	417
648	769	416
649	771	415
650	772	414
651	773	412
652	774	411
653	775	410
654	776	408
655	777	407
656	778	406
657	778	404
658	779	403
659	780	402
660	781	400
661	781	399
662	782	397
663	783	396
664	784	395
665	786	394
666	787	392
667	787	391
668	788	390
669	789	388
670	790	387
671	791	386
672	792	384
673	793	383
674	793	382
675	794	380
676	795	379
677	796	378
678	797	376
679	798	375
680	799	374
681	799	372
682	800	371
683	802	370
684	802	369
685	803	367
686	804	366
687	805	365
688	806	364
689	807	362
690	808	361
691	809	360
692	809	358
693	810	357
694	811	356
695	812	354
696	813	353
697	814	352
698	814	350
699	816	349
700	816	348
701	817	347
702	818	345
703	819	344
704	820	343
705	821	342
706	822	340
707	823	339
708	824	338
709	825	337
710	826	335
711	827	334
712	827	333
713	828	331
714	829	330
715	830	329
716	832	328
717	833	327
718	834	325
719	835	324
720	836	323
721	836	322
722	837	320
723	838	319
724	839	318
725	840	317
726	840	315
727	841	314
728	842	313
729	843	311
730	844	310
731	844	309
732	846	308
733	846	306
734	847	305
735	849	304
736	850	303
737	851	302
738	851	300
739	852	299
740	853	298
741	854	297
742	855	295
743	856	294
744	857	293
745	857	292
746	858	290
747	859	289
748	860	288
749	861	287
750	862	286
751	864	284
752	864	283
753	865	282
754	866	281
755	867	280
756	868	278
757	869	277
758	870	276
759	871	275
760	872	273
761	873	272
762	873	271
763	874	270
764	876	269
765	877	267
766	878	266
767	879	265
768	880	264
769	881	263
770	881	261
771	882	260
772	883	259
773	884	258
774	885	256
775	885	255
776	886	254
777	887	253
778	888	252
779	889	250
780	890	249
781	891	248
782	891	247
783	892	245
784	893	244
785	894	243
786	895	242
787	896	241
788	897	240
789	898	238
790	899	237
791	900	236
792	900	235
793	901	233
794	902	232
795	903	231
796	904	230
797	905	229
798	906	227
799	907	226
800	908	225
801	909	224
802	910	223
803	911	222
804	912	220
805	912	219
806	913	218
807	914	217
808	915	216
809	916	214
810	917	213
811	917	212
812	918	211
813	919	210
814	920	208
815	921	207
816	922	206
817	923	205
818	924	204
819	925	203
820	926	201
821	927	200
822	927	199
823	928	198
824	929	197
825	930	195
826	930	194
827	931	193
828	932	192
829	933	191
830	934	189
831	934	188
832	935	187
833	936	186
834	938	185
835	939	184
836	940	183
837	941	181
838	941	180
839	942	179
840	943	178
841	944	177
842	945	176
843	945	174
844	946	173
845	947	172
846	948	171
847	949	170
848	950	169
849	951	167
850	952	166
851	953	165
852	954	164
853	955	163
854	957	162
855	958	161
856	959	160
857	960	158
858	961	157
859	962	156
860	962	155
861	963	154
862	964	153
863	965	151
864	966	150
865	967	149
866	968	148
867	971	147
868	972	146
869	973	145
870	974	144
871	975	143
872	976	142
873	976	140
874	977	139
875	978	138
876	979	137
877	980	136
878	981	135
879	982	133
880	983	132
881	985	131
882	986	130
883	987	129
884	988	128
885	989	127
886	990	126
887	991	125
888	992	123
889	994	122
890	995	121
891	996	120
892	997	119
893	998	118
894	999	117
895	1001	116
896	1002	115
897	1004	114
898	1005	112
899	1006	111
900	1007	110
901	1008	109
902	1009	108
903	1010	107
904	1010	106
905	1012	105
906	1013	103
907	1014	102
908	1016	101
909	1017	100
910	1018	99
911	1019	98
912	1020	97
913	1021	96
914	1021	94
915	1022	93
916	1023	92
917	1024	91
918	1025	90
919	1026	89
920	1028	88
921	1029	87
922	1030	85
923	1031	84
924	1032	83
925	1033	82
926	1034	81
927	1035	80
928	1036	79
929	1037	78
930	1038	76
931	1038	75
932	1039	74
933	1040	73
934	1041	72
935	1042	71
936	1043	70
937	1044	69
938	1045	67
939	1046	66
940	1047	65
941	1048	64
942	1049	63
943	1051	62
944	1051	61
945	1052	60
946	1053	58
947	1054	57
948	1055	56
949	1056	55
